,name_lens,lens_link,number_of_works,collaboration_ratio,lens_h_index,scholar_article_cites,patent_cites,associated_fields,current_place_of_work
492,William D. Warren,https://www.lens.org/lens/orcid/0000-0002-3753-1871/scholar,10,70%,10,686,3,"['Biology , Genetics , Cell biology , Drosophila Protein , Integrator complex , RNA polymerase II , Small nuclear RNA , snRNP , Cohesin , Drosophila melanogaster']",James Cook University
493,Per Niklas Hedde,https://www.lens.org/lens/orcid/0000-0002-2994-369X/scholar,20,95%,5,88,2,"['Biology , Computer science , Chemistry , Cell biology , Computational biology , Light sheet fluorescence microscopy , Materials science , Microscope , Physics , Microscopy']",University of California Irvine
494,Xiaoming Chen,https://www.lens.org/lens/orcid/0000-0003-2592-4579/scholar,0,-,-,0,0,[''],no current information
495,Yang Quanhong,https://www.lens.org/lens/orcid/0000-0003-1462-6648/scholar,0,-,-,0,0,[''],Wenzhou University
496,Peng Peng,https://www.lens.org/lens/orcid/0000-0002-6506-1184/scholar,8,-,5,344,1,"['Artificial intelligence , Computer science , Computer vision , Image quality , Data mining , Distortion , Decision fusion , Machine learning , Mathematics , Measure (mathematics)']",Microsoft Corp
497,Tian Yongsheng,https://www.lens.org/lens/orcid/0000-0001-6869-5855/scholar,19,82%,3,46,0,"['Biology , Gene , Biochemistry , Chemistry , Computer science , Genetics , Organic chemistry , Biodegradation , Escherichia coli , Metabolic engineering']",Chinese Academy of Fishery Science Yellow Sea Fisheries Research Institute
498,zhenjun li,https://www.lens.org/lens/orcid/0000-0003-0947-8839/scholar,62,83%,5,135,0,"['Biology , Gene , Genetics , Medicine , Biochemistry , Bacteria , Chemistry , Microbiology , Internal medicine , Computer science']",no current information
499,Fujian Zhang,https://www.lens.org/lens/orcid/0000-0002-6399-7552/scholar,11,17%,3,34,0,"['Materials science , Composite material , Molecular dynamics , Chemical engineering , Engineering , Graphene , Nanotechnology , Chemical physics , Chemistry , Membrane']","Institute of Intelligent Flexible Mechatronics, doctor"
500,zhang wenhui,https://www.lens.org/lens/orcid/0000-0003-2863-3873/scholar,3,67%,2,11,0,"['Artificial neural network , Computer science , Robot , Acoustics , Artificial intelligence , Control (management) , Control theory , Control theory (sociology) , Current (mathematics) , Disturbance (geology)']",no current information
501,Guikai Guo,https://www.lens.org/lens/orcid/0000-0002-9582-2976/scholar,10,20%,5,60,1,"['Mathematics , Finite element method , Algorithm , Computer science , Mathematical optimization , Sensitivity (control systems) , Vibration , Applied mathematics , Control theory , Eigenvalues and eigenvectors']",Jilin University
502,Sasan Shadpour,https://www.lens.org/lens/orcid/0000-0001-9736-7295/scholar,15,93%,10,255,1,"['Materials science , Liquid crystal , Chirality (chemistry) , Crystallography , Nanotechnology , Chemical physics , Chemical engineering , Chemistry , Self-assembly , Side chain']",Lam Research (United States)
503,Yinhua Chen,https://www.lens.org/lens/orcid/0000-0002-9232-7590/scholar,5,75%,2,14,0,"['Biology , Gene , Genetics , Botany , Anatomy , Bacterial blight , Biochemical engineering , Bioenergy , Biofuel , Biomass (ecology)']",hainan university
504,Xin-xin Cao,https://www.lens.org/lens/orcid/0000-0001-7884-3073/scholar,87,90%,13,635,1,"['Medicine , Internal medicine , Chemistry , Gastroenterology , Organic chemistry , Biology , Materials science , Disease , Chemotherapy , Amyloidosis']","Hematology, M.D."
505,wang dan,https://www.lens.org/lens/orcid/0000-0003-0589-5539/scholar,2,-,2,68,1,"['Biology , Placenta , microRNA , Andrology , Appropriate for gestational age , Birth weight , Endocrinology , Fetus , Gene expression , Gestational age']",no current information
506,hongqian zhang,https://www.lens.org/lens/orcid/0000-0003-0665-4614/scholar,1,100%,-,0,0,"['Biochemistry , Biology , Biomedical engineering , Biophysics , Biosensor , Cancer , Cancer cell , Cell biology , Chemistry , DNA']",no current information
507,Jiamei Li,https://www.lens.org/lens/orcid/0000-0002-3981-2247/scholar,1,-,1,1,0,"['Deformable mirror , Inertial confinement fusion , Laser , Lens (optics) , Optical power , Optics , Parabolic reflector , Physics , Shield , Solid angle']",no current information
508,naihua hu,https://www.lens.org/lens/orcid/0000-0002-9164-8827/scholar,9,33%,7,199,0,"['Chemistry , Pharmacology , Fatty liver , Inflammation , Emodin , Lipid metabolism , Medicine , Dried fruit , Fibrosis , Liver function']","Chengdu Library and Information Center, CAS"
509,Zhixiong GUO,https://www.lens.org/lens/orcid/0000-0003-0734-2567/scholar,0,-,-,0,0,[''],Fujian agriculture and Forestry University
510,Joaquim Huaina Cintra-Andrade,https://www.lens.org/lens/orcid/0000-0001-8614-2939/scholar,10,100%,2,9,0,"['Medicine , Body mass index , Demography , Mathematics , Odds ratio , Anthropometry , Confidence interval , Cross-sectional study , Internal medicine , Logistic regression']",no current information
511,Yating,https://www.lens.org/lens/orcid/0000-0001-7849-8986/scholar,1,100%,1,1,0,"['Artificial intelligence , Centroid , Computer science , Computer vision , Distortion (optics) , Feature (computer vision) , Matching (graph theory) , Perspective (graphical) , Point (geometry) , Position (vector)']",no current information
512,Debin Ji,https://www.lens.org/lens/orcid/0000-0002-3195-9818/scholar,22,59%,6,121,1,"['Materials science , Electrochemistry , Intermetallic , Cyclic voltammetry , Inorganic chemistry , Alloy , Analytical chemistry , Electrode , Electrolysis , Chemical engineering']",Northeast Petroleum University
513,Qiaqia Wang,https://www.lens.org/lens/orcid/0000-0002-5666-5605/scholar,2,-,2,43,0,"['Circular polarization , Dipole antenna , Linear polarization , Liquid metal , Materials science , Optoelectronics , Polarization (waves) , Polydimethylsiloxane , Printed circuit board , Slot antenna']",no current information
514,Song Hao,https://www.lens.org/lens/orcid/0000-0002-2286-8551/scholar,22,86%,11,285,1,"['Materials science , Monolayer , Nanotechnology , Condensed matter physics , Neuromorphic engineering , Composite material , Computer science , Kelvin probe force microscope , Molybdenum disulfide , Optoelectronics']",Dalian University of Technology
515,Jinhua Zhang,https://www.lens.org/lens/orcid/0000-0002-6840-2829/scholar,1,100%,1,2,0,"['Convergent validity , Delphi method , Discriminant validity , Exploratory factor analysis , Factor analysis , Item analysis , Nursing , Psychology , Psychometrics , Scale (ratio)']",Xinxiang Medical University
516,Anna Kostareva,https://www.lens.org/lens/orcid/0000-0002-9349-6257/scholar,88,82%,20,"1,291",6,"['Biology , Medicine , Internal medicine , Gene , Genetics , Cardiology , Cardiomyopathy , Cell biology , Endocrinology , Desmin']",Karolinska Institutet
517,Anastasia Smolina,https://www.lens.org/lens/orcid/0000-0002-7162-422X/scholar,1,100%,-,0,0,"['Central nervous system , Chemistry , Chromatography , Correlation , Correlation coefficient , Geometry , Internal medicine , Magnetic resonance imaging , Magnetization transfer , Mathematics']","Department of Medical Biophysics, Ph.D."
518,Anna Malashicheva,https://www.lens.org/lens/orcid/0000-0002-0820-2913/scholar,83,88%,20,"1,343",22,"['Biology , Medicine , Cell biology , Internal medicine , Aortic valve , Cardiology , Gene , Mesenchymal stem cell , Calcification , Genetics']",Institute of Cytology
519,Indira Urusova,https://www.lens.org/lens/orcid/0000-0003-2898-1069/scholar,4,-,3,14,0,"['Electric arc , Mechanics , Physics , Thermodynamic equilibrium , Arc (geometry) , Magnetic field , Plasma , Anode , Asymmetry , Atomic physics']",no current information
520,Artem Kiselev,https://www.lens.org/lens/orcid/0000-0002-9864-4132/scholar,2,100%,2,12,0,"['Catalysis , Chemistry , Polymer chemistry , Polymerization , Coordination polymerization , Copolymer , Ene reaction , Ethylene , Medicinal chemistry , Olefin fiber']",no current information
521,Sofie De Maeseneire,https://www.lens.org/lens/orcid/0000-0002-5314-1697/scholar,10,33%,7,109,5,"['Yeast , Biology , Chemistry , Computational biology , Biochemistry , Gene cluster , Saccharomyces cerevisiae , Sophorolipid , Food science , Gene expression']",Ghent University
522,Anna Snoeck,https://www.lens.org/lens/orcid/0000-0003-1539-7269/scholar,1,-,1,12,0,"['Episodic memory , Functional connectivity , Hippocampus , Key factors , Neuroscience , Psychology , Recall , Reinforcement learning , Theta oscillations , Ventral striatum']",no current information
523,XU Jianjun,https://www.lens.org/lens/orcid/0000-0002-1855-8462/scholar,26,88%,13,399,2,"['Calmodulin , Chemistry , Biology , Biophysics , Cav1.2 , Biochemistry , Cell biology , Voltage-dependent calcium channel , Ca2+/calmodulin-dependent protein kinase , Guinea pig']",Kagoshima University
524,I G SRIKANTH,https://www.lens.org/lens/orcid/0000-0002-3145-5353/scholar,0,-,-,0,0,[''],RNS Institute of Technology
525,Elena Sadovnikova,https://www.lens.org/lens/orcid/0000-0003-0648-378X/scholar,2,50%,1,1,0,"['Gastroenterology , In patient , Internal medicine , Medicine , Retrospective analysis , Bile duct , Cholangiography , Cholestasis , Edema , Hyperamylasemia']",no current information
526,Natalie Panina,https://www.lens.org/lens/orcid/0000-0002-2092-1988/scholar,40,44%,6,139,0,"['Chemistry , Computational chemistry , Inorganic chemistry , Quantum chemical , Coordination complex , Crystallography , Medicinal chemistry , Carboxylate , Ion , Ligand']",St. Petersburg State Technological Institute (Technical University) RF
527,Natalia V Bykova,https://www.lens.org/lens/orcid/0000-0002-5482-3251/scholar,4,100%,2,62,0,"['Biology , Metabolic pathway , Mitochondrion , Acetylation , Agriculture , Archaeology , Biochemistry , Bioturbation , Cell biology , Cellular respiration']",no current information
528,Hagan Bayley,https://www.lens.org/lens/orcid/0000-0003-2499-6116/scholar,338,55%,92,"30,262","6,525","['Chemistry , Biophysics , Biochemistry , Biology , Nanopore , Nanotechnology , Molecule , Lipid bilayer , Materials science , Membrane']",University of Oxford
529,Kun Zhu,https://www.lens.org/lens/orcid/0000-0001-6820-8981/scholar,27,54%,11,416,1,"['Materials science , Optoelectronics , Composite material , Electric field , Piezoelectricity , Polarization (electrochemistry) , Thin film , Dielectric , Ferroelectricity , Ceramic']",Shanghai Institute of Technology
530,Baixiang Xue,https://www.lens.org/lens/orcid/0000-0002-3039-9249/scholar,1,-,1,1,0,"['Balance theory , Cognitive psychology , Computer science , Short paper , Social balance , Social network , Social relationship']",no current information
531,Wang Yaping,https://www.lens.org/lens/orcid/0000-0003-3879-1242/scholar,1,100%,1,17,0,"['Acceptor , Anode , Energy conversion efficiency , Layer (electronics) , Materials science , Optoelectronics , Organic solar cell , PEDOT:PSS , Photoactive layer , Photochemistry']",no current information
532,yahui zhang,https://www.lens.org/lens/orcid/0000-0002-0436-1634/scholar,10,10%,7,931,21,"['Tissue engineering , Biomedical engineering , Nanotechnology , Materials science , Design for manufacturability , Microfluidics , Transplantation , Viability assay , Biofabrication , Carbon nanotube']",no current information
533,cuiying zhang,https://www.lens.org/lens/orcid/0000-0003-4926-4202/scholar,49,20%,16,627,14,"['Biochemistry , Yeast , Biology , Chemistry , Fermentation , Saccharomyces cerevisiae , Mutant , Food science , Gene , Leavening agent']",no current information
534,Dongguang Yang,https://www.lens.org/lens/orcid/0000-0003-2943-1034/scholar,19,39%,7,115,0,"['Geology , Geochemistry , Petrogenesis , Zircon , Biology , Geochronology , Chemistry , Partial melting , Agronomy , Biochemistry']","College of Earth Sciences, Dr."
535,gao qiang,https://www.lens.org/lens/orcid/0000-0002-1102-8784/scholar,1,100%,-,0,0,"['Algorithm , Artificial intelligence , CURE data clustering algorithm , Canopy clustering algorithm , Cluster (spacecraft) , Cluster analysis , Combinatorics , Computer science , Core (optical fiber) , Correlation clustering']",no current information
536,An-Ya Lo,https://www.lens.org/lens/orcid/0000-0002-7421-180X/scholar,53,83%,18,"1,197",8,"['Materials science , Catalysis , Chemical engineering , Chemistry , Mesoporous material , Nanotechnology , Carbon , Carbon nanotube , Organic chemistry , Nanoparticle']",National Chin-Yi University of Technology
537,huamin Wang,https://www.lens.org/lens/orcid/0000-0003-0019-8603/scholar,1,100%,-,0,0,"['Apoptosis , Biology , Cancer research , Gene , Genetics , Hepatocellular carcinoma , Immune system , Immunology , Internal medicine , Medicine']",no current information
538,Xianli Shen,https://www.lens.org/lens/orcid/0000-0003-4375-2993/scholar,9,100%,7,210,1,"['Microglia , Biology , Neuroscience , Immune system , Cancer research , Glioma , Neuroinflammation , Cancer cell , Caspase 3 , Cell biology']",Dana-Farber Cancer Institute
539,Feng Lu,https://www.lens.org/lens/orcid/0000-0003-0970-3717/scholar,3,100%,1,1,0,"['Biology , Chemistry , Optics , Physics , Raman spectroscopy , Aptamer , Biochemistry , Biophysics , DNA , Raman scattering']",no current information
540,Xinlei Jiang,https://www.lens.org/lens/orcid/0000-0001-9275-830X/scholar,3,67%,2,10,0,"['Mathematics , Artificial intelligence , Cognition , Cognitive load , Computer science , Dependency (UML) , Econometrics , Genealogy , History , Law']",no current information
541,Wang Lei,https://www.lens.org/lens/orcid/0000-0002-6334-1756/scholar,1,100%,1,3,1,"['Algorithm , Computer science , Doppler effect , High range resolution , Key (cryptography) , Moving target indication , Radar imaging , Range (statistics) , Range of a projectile , Synthetic aperture radar']",no current information
542,Yingchong Ma,https://www.lens.org/lens/orcid/0000-0002-6663-8811/scholar,1,100%,1,1,0,"['Apparent viscosity , Aqueous solution , Catalysis , Chemical engineering , Chemistry , Composite material , Engineering , Enzymatic hydrolysis , Hydrolysis , Ionic liquid']",Dalian Polytechnic University
543,Xu Jie,https://www.lens.org/lens/orcid/0000-0001-7095-5580/scholar,9,56%,7,293,0,"['Chemistry , Biochemistry , Chemiluminescence , Dendrimer , Drug carrier , Fluorescence , Intracellular , Materials science , Nanodevice , Nanotechnology']","School of Pharmaceutical Sciences and Innovative Drug Research Centre, PhD"
544,Jincai,https://www.lens.org/lens/orcid/0000-0002-9614-8776/scholar,5,80%,3,24,0,"['Biology , Cancer research , Endocrinology , Immune system , Internal medicine , Lymph node , Pathogenesis , Angiogenesis , Artificial intelligence , Backbone network']",no current information
545,Qingrong Wu,https://www.lens.org/lens/orcid/0000-0001-8235-2322/scholar,5,80%,2,19,0,"['Computer science , Radiation treatment planning , Artificial intelligence , Medical physics , Nuclear medicine , Radiation therapy , Arc (geometry) , Beam (structure) , Beam geometry , Breast cancer']",no current information
